Time,Signal 1,Signal 2
0,0.508103733,0.502961268
0.05,0.497818803,0.502961268
0.1,0.502961268,0.502961268
0.15,0.508103733,0.508103733
0.2,0.502961268,0.502961268
0.25,0.497818803,0.502961268
0.3,0.508103733,0.502961268
0.35,0.502961268,0.497818803
0.4,0.508103733,0.502961268
0.45,0.502961268,0.497818803
0.5,0.508103733,0.508103733
0.55,0.502961268,0.508103733
0.6,0.508103733,0.502961268
0.65,0.502961268,0.502961268
0.7,0.497818803,0.502961268
0.75,0.508103733,0.502961268
0.8,0.508103733,0.508103733
0.85,0.502961268,0.508103733
0.9,0.502961268,0.502961268
0.95,0.497818803,0.508103733
1,0.508103733,0.508103733
1.05,0.508103733,0.502961268
1.1,0.502961268,0.502961268
1.15,0.502961268,0.502961268
1.2,0.508103733,0.508103733
1.25,0.508103733,0.497818803
1.3,0.502961268,0.502961268
1.35,0.508103733,0.502961268
1.4,0.502961268,0.502961268
1.45,0.508103733,0.502961268
1.5,0.502961268,0.508103733
1.55,0.502961268,0.502961268
1.6,0.497818803,0.502961268
1.65,0.502961268,0.502961268
1.7,0.508103733,0.502961268
1.75,0.497818803,0.508103733
1.8,0.502961268,0.502961268
1.85,0.502961268,0.508103733
1.9,0.502961268,0.508103733
1.95,0.502961268,0.502961268
2,0.508103733,0.508103733
2.05,0.502961268,0.502961268
2.1,0.492676338,0.497818803
2.15,0.508103733,0.502961268
2.2,0.502961268,0.502961268
2.25,0.502961268,0.513246198
2.3,0.497818803,0.497818803
2.35,0.497818803,0.502961268
2.4,0.508103733,0.508103733
2.45,0.497818803,0.502961268
2.5,0.508103733,0.502961268
2.55,0.508103733,0.497818803
2.6,0.508103733,0.508103733
2.65,0.508103733,0.497818803
2.7,0.502961268,0.497818803
2.75,0.508103733,0.502961268
2.8,0.497818803,0.508103733
2.85,0.502961268,0.502961268
2.9,0.502961268,0.502961268
2.95,0.508103733,0.508103733
3,0.502961268,0.497818803
3.05,0.502961268,0.502961268
3.1,0.502961268,0.508103733
3.15,0.497818803,0.508103733
3.2,0.502961268,0.502961268
3.25,0.502961268,0.502961268
3.3,0.502961268,0.502961268
3.35,0.502961268,0.502961268
3.4,0.513246198,0.508103733
3.45,0.502961268,0.502961268
3.5,0.502961268,0.502961268
3.55,0.502961268,0.497818803
3.6,0.502961268,0.502961268
3.65,0.497818803,0.502961268
3.7,0.502961268,0.502961268
3.75,0.508103733,0.502961268
3.8,0.502961268,0.502961268
3.85,0.497818803,0.502961268
3.9,0.502961268,0.508103733
3.95,0.502961268,0.508103733
4,0.497818803,0.502961268
4.05,0.508103733,0.502961268
4.1,0.508103733,0.502961268
4.15,0.508103733,0.508103733
4.2,0.508103733,0.508103733
4.25,0.508103733,0.508103733
4.3,0.502961268,0.502961268
4.35,0.497818803,0.502961268
4.4,0.502961268,0.502961268
4.45,0.508103733,0.497818803
4.5,0.502961268,0.508103733
4.55,0.508103733,0.502961268
4.6,0.508103733,0.508103733
4.65,0.502961268,0.502961268
4.7,0.508103733,0.508103733
4.75,0.508103733,0.502961268
4.8,0.497818803,0.513246198
4.85,0.508103733,0.502961268
4.9,0.508103733,0.497818803
4.95,0.502961268,0.502961268
