Stress (Pa),Shear rate (1/s),Viscosity (Pa-s),Step time (s),Temperature (°C),Normal stress (Pa)
0.00592474,0.999973,0.0059249,61.5517,21.995,-400.327
0.00477092,1.25901,0.00378941,92.6491,22.002,-402.985
0.00643036,1.58491,0.00405725,153.76,22,-374.586
0.0057938,1.99519,0.00290389,174.843,21.993,-366.07
0.00689496,2.51182,0.002745,236.005,21.997,-382.443
0.0099949,3.16291,0.00316003,297.144,21.999,-406.933
0.00378282,3.98101,0.000950215,358.282,21.993,-413.655
0.00562803,5.01192,0.00112293,419.429,22.008,-420.672
0.00771533,6.30961,0.00122279,460.64,21.995,-432.273
0.00832865,7.94327,0.00104852,511.82,22.001,-438.37
0.0098105,9.99996,0.000981053,553.003,22,-449.453
0.0115848,12.5893,0.000920214,614.129,22.002,-455.315
0.0137187,15.8489,0.00086559,660.283,21.998,-460.562
0.0179571,19.9526,0.00089999,701.411,22.005,-460.75
0.0219314,25.1188,0.000873106,727.491,21.996,-467.946
0.0285463,31.6227,0.000902716,753.563,22.002,-464.997
0.0349177,39.8107,0.000877093,774.622,22.001,-467.132
0.0426871,50.1186,0.000851722,795.676,22.004,-467.253
0.0529206,63.0956,0.000838736,816.719,22.003,-468.621
0.0663526,79.4328,0.00083533,837.8,21.998,-468.07
0.0830661,100,0.000830661,858.977,22,-469.273
0.103923,125.893,0.000825486,880.098,21.999,-470.498
0.129903,158.489,0.000819632,901.247,22.001,-469.674
0.162872,199.526,0.000816296,922.347,22.003,-471.146
0.204469,251.189,0.000814004,948.436,21.998,-475.32
0.25661,316.228,0.000811472,974.51,22.003,-476.564
0.322304,398.107,0.000809591,995.574,22.003,-478.566
0.404817,501.187,0.000807717,1016.65,22.005,-482.314
0.50855,630.956,0.000805999,1042.73,21.998,-483.757
0.639976,794.328,0.000805682,1063.76,22.006,-488.599
0.806146,999.999,0.000806147,1089.81,22.005,-494.826
1.01812,1258.92,0.000808719,1110.87,22.001,-502.801
1.28931,1584.89,0.000813501,1131.93,22,-518.193
1.64233,1995.26,0.000823116,1152.99,21.994,-539.781
2.10882,2511.89,0.000839536,1174.05,21.995,-576.911
2.73283,3162.28,0.000864198,1195.12,21.994,-636.906
3.5817,3981.07,0.000899683,1216.25,21.995,-728.728
4.75326,5011.87,0.0009484,1237.34,21.998,-873.259
6.3919,6309.56,0.00101305,1258.47,21.997,-1098.37
8.70104,7943.26,0.0010954,1279.59,22.002,-1443.44
11.9496,9999.99,0.00119496,1300.67,21.996,-2035.66
